sizeRow,sizeColumn,0,1,2,3,4,5,6,7,8,9
10.0,10.0,0.0,12.833333333333334,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,0.0,16.935696278103872,15.541666666666668,0.0,0.0,0.0,0.0,0.0,21.666666666666668,19.666666666666668
,,0.0,15.800779537122551,15.88888888888889,0.0,0.0,0.0,0.0,0.0,21.38113276073393,20.913736690774037
,,0.0,16.76310729378175,16.166666666666668,0.0,0.0,0.0,0.0,0.0,21.31979441183729,0.0
,,0.0,12.952380952380954,4.916666666666668,13.818181818181817,12.676093030566731,11.906974442519395,17.474675326515793,18.29635380777806,18.907540547275357,0.0
,,0.0,0.0,0.0,0.0,0.0,16.321909584179366,17.431723584270394,17.445380449014344,19.56488670416702,0.0
,,0.0,0.0,0.0,0.0,0.0,17.669082955208395,16.207541896769428,18.330655497800347,20.137445889569506,0.0
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.537827262629932,18.35115183765707,0.0
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.34600257424323,16.777338029397328,0.0
,,0.0,0.0,0.0,0.0,0.0,0.0,15.73879612503626,8.024316338958387,0.0,0.0
